no,Pb,Th,U,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ
0NMH-24-35,133.25,409.23,615.73,0.07778,0.00252,1.77797,0.03202,0.16578,0.00239,0.05125,0.00074,1141,63.16,1037,11.71,989,13.22,1010,14.18 
1NMH-24-24,14.97,37.29,75.67,0.07620,0.00317,1.79801,0.05659,0.17110,0.00290,0.05965,0.00144,1100,81.05,1045,20.54,1018,15.98,1171,27.49 
2NMH-24-21,64.96,225.75,283.70,0.07894,0.00306,1.92602,0.05321,0.17691,0.00287,0.05612,0.00108,1171,74.79,1090,18.46,1050,15.73,1104,20.58 
3NMH-24-16,33.88,36.10,186.49,0.08237,0.00407,2.02313,0.08304,0.17809,0.00352,0.07575,0.00302,1254,93.61,1123,27.89,1057,19.26,1476,56.65 
4NMH-24-17,62.46,67.31,267.92,0.08858,0.00464,2.32022,0.10347,0.18993,0.00406,0.07209,0.00353,1395,97.22,1219,31.64,1121,21.98,1407,66.50 
6NMH-24-06,162.94,321.13,764.52,0.08477,0.00321,2.24850,0.05935,0.19230,0.00309,0.07828,0.00173,1310,71.78,1196,18.55,1134,16.72,1523,32.39 
7NMH-24-01,78.74,299.89,307.18,0.08453,0.00286,2.26269,0.04600,0.19406,0.00286,0.05628,0.00086,1305,64.38,1201,14.32,1143,15.43,1107,16.46 
8NMH-24-31,97.65,161.16,414.11,0.08773,0.00300,2.37485,0.05012,0.19631,0.00297,0.06303,0.00119,1377,64.36,1235,15.08,1156,15.99,1236,22.61 
11NMH-24-03,63.36,102.42,260.27,0.08646,0.00294,2.41186,0.04987,0.20225,0.00300,0.06743,0.00125,1348,64.25,1246,14.84,1187,16.10,1319,23.76 
12NMH-24-08,62.46,150.56,239.77,0.09092,0.00309,2.54154,0.05224,0.20267,0.00302,0.06751,0.00115,1445,63.42,1284,14.98,1190,16.21,1321,21.81 
14NMH-24-07,120.18,277.26,461.57,0.09047,0.00297,2.54074,0.04749,0.20360,0.00295,0.06749,0.00106,1436,61.48,1284,13.62,1195,15.82,1320,19.98 
15NMH-24-32,274.39,336.41,1286.77,0.08648,0.00280,2.44583,0.04416,0.20509,0.00298,0.06241,0.00113,1349,61.28,1256,13.01,1203,15.94,1224,21.44 
17NMH-24-02,50.87,130.89,176.76,0.09825,0.00390,2.99559,0.08697,0.22104,0.00382,0.06576,0.00147,1591,72.32,1407,22.10,1287,20.18,1287,27.80 
18NMH-24-19,34.67,92.14,115.69,0.09416,0.00327,2.87955,0.06296,0.22176,0.00341,0.06939,0.00116,1511,64.15,1377,16.48,1291,18.01,1356,21.97 
19NMH-24-13,122.53,295.36,486.35,0.10045,0.00420,3.15446,0.10078,0.22769,0.00418,0.07135,0.00208,1633,75.73,1446,24.63,1322,21.95,1393,39.21 
20NMH-24-36,88.37,140.06,315.81,0.09612,0.00317,3.03807,0.05813,0.22921,0.00341,0.07105,0.00121,1550,60.77,1417,14.62,1330,17.89,1387,22.88 
21NMH-24-27,99.32,73.22,378.90,0.10295,0.00332,3.30071,0.05852,0.23249,0.00339,0.08369,0.00164,1678,58.40,1481,13.82,1348,17.73,1624,30.64 
22NMH-24-30,62.92,59.88,233.53,0.09947,0.00359,3.19758,0.07694,0.23312,0.00376,0.07126,0.00191,1614,65.78,1457,18.61,1351,19.65,1391,36.02 
23NMH-24-18,40.92,123.46,119.10,0.09857,0.00341,3.33693,0.07229,0.24548,0.00379,0.07699,0.00123,1597,63.15,1490,16.92,1415,19.63,1499,23.12 
24NMH-24-34,55.02,140.79,169.57,0.09450,0.00371,3.21209,0.09180,0.24648,0.00427,0.07183,0.00148,1518,72.20,1460,22.13,1420,22.10,1402,27.87 
25NMH-24-22,97.40,297.88,259.32,0.10054,0.00344,3.65160,0.07718,0.26337,0.00406,0.07565,0.00119,1634,62.21,1561,16.85,1507,20.73,1474,22.28 
