no,Pb,Th,U,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ
NMH-54-07,27.83,48.50,289.79,0.05430,0.00234,0.63653,0.02126,0.08504,0.00137,0.02670,0.00084,383,93.56,500,13.19,526,8.16,533,16.49 
NMH-54-61,118.57,28.07,1399.59,0.05677,0.00182,0.67105,0.01251,0.08571,0.00129,0.02621,0.00114,482,69.96,521,7.60,530,7.65,523,22.43 
NMH-54-01,25.61,11.53,322.53,0.06180,0.00211,0.73043,0.01536,0.08574,0.00125,0.00369,0.00011,667,71.61,557,9.02,530,7.44,75,2.25 
NMH-54-36,42.86,51.50,489.71,0.05786,0.00223,0.68438,0.01903,0.08576,0.00135,0.03124,0.00115,524,82.68,529,11.47,530,8.03,622,22.53 
NMH-54-64,26.50,28.95,295.78,0.05875,0.00195,0.69627,0.01424,0.08593,0.00131,0.02793,0.00067,558,70.70,537,8.53,531,7.78,557,13.16 
NMH-54-34,33.97,19.60,387.36,0.05722,0.00189,0.67870,0.01341,0.08600,0.00127,0.03102,0.00091,500,71.74,526,8.11,532,7.54,618,17.81 
NMH-54-15,29.51,14.09,360.84,0.06043,0.00224,0.71678,0.01821,0.08602,0.00132,0.03149,0.00114,619,77.98,549,10.77,532,7.81,627,22.36 
NMH-54-58,33.43,24.80,368.22,0.05938,0.00203,0.70462,0.01542,0.08604,0.00132,0.03191,0.00099,581,72.48,542,9.18,532,7.84,635,19.29 
NMH-54-33,40.50,32.98,457.77,0.06008,0.00209,0.71308,0.01605,0.08606,0.00130,0.03556,0.00097,607,73.66,547,9.51,532,7.71,706,18.86 
NMH-54-05,30.50,45.91,339.49,0.05941,0.00208,0.70495,0.01564,0.08607,0.00127,0.03120,0.00088,582,74.09,542,9.31,532,7.53,621,17.29 
NMH-54-35,35.60,330.50,420.54,0.06395,0.00255,0.75926,0.02232,0.08609,0.00139,0.00845,0.00031,740,82.06,574,12.88,532,8.25,170,6.25 
NMH-54-06,35.12,15.63,398.88,0.05887,0.00201,0.69895,0.01471,0.08613,0.00126,0.03038,0.00115,562,72.78,538,8.79,533,7.47,605,22.48 
NMH-54-51,49.86,410.66,652.39,0.05939,0.00204,0.70545,0.01559,0.08612,0.00132,0.00367,0.00013,581,72.94,542,9.28,533,7.81,74,2.70 
NMH-54-40,35.15,48.13,355.80,0.05871,0.00208,0.69756,0.01636,0.08614,0.00132,0.03256,0.00093,557,75.41,537,9.79,533,7.82,648,18.16 
NMH-54-65,25.56,32.74,282.18,0.05681,0.00193,0.67513,0.01476,0.08617,0.00133,0.02973,0.00073,483,74.17,524,8.95,533,7.87,592,14.26 
NMH-54-20,28.43,29.92,320.89,0.05911,0.00203,0.70303,0.01507,0.08626,0.00128,0.02705,0.00074,571,72.88,541,8.98,533,7.59,540,14.52 
NMH-54-63,37.79,36.76,415.63,0.05830,0.00210,0.69405,0.01710,0.08631,0.00136,0.03552,0.00112,541,77.49,535,10.25,534,8.05,705,21.90 
NMH-54-47,37.61,21.34,433.39,0.05790,0.00188,0.68954,0.01313,0.08634,0.00129,0.04008,0.00095,526,69.31,533,7.89,534,7.64,794,18.43 
NMH-54-39,25.88,93.97,268.48,0.06010,0.00201,0.71593,0.01458,0.08637,0.00129,0.02715,0.00047,607,70.58,548,8.63,534,7.66,541,9.27 
NMH-54-57,35.75,30.19,338.60,0.06494,0.00233,0.77463,0.01883,0.08649,0.00136,0.03547,0.00110,772,73.66,582,10.78,535,8.07,705,21.38 
NMH-54-62,32.16,23.64,334.07,0.06027,0.00210,0.71906,0.01649,0.08651,0.00134,0.03381,0.00103,613,73.49,550,9.74,535,7.97,672,20.22 
NMH-54-49,28.97,10.62,312.48,0.05695,0.00193,0.67977,0.01450,0.08655,0.00131,0.03285,0.00127,489,73.67,527,8.77,535,7.78,653,24.90 
NMH-54-56,35.57,15.64,402.66,0.05612,0.00187,0.67018,0.01375,0.08658,0.00131,0.03127,0.00106,457,72.12,521,8.36,535,7.79,622,20.85 
NMH-54-04,28.90,16.38,332.18,0.06063,0.00235,0.72396,0.02003,0.08662,0.00134,0.03763,0.00175,626,81.47,553,11.80,536,7.96,747,34.14 
NMH-54-09,27.84,24.78,315.80,0.05792,0.00291,0.69157,0.02904,0.08661,0.00154,0.03060,0.00199,526,106.96,534,17.43,536,9.13,609,39.11 
NMH-54-18,30.00,42.17,322.06,0.05720,0.00205,0.68311,0.01632,0.08661,0.00131,0.02719,0.00067,499,77.76,529,9.84,536,7.74,542,13.26 
NMH-54-48,24.96,91.51,266.69,0.05912,0.00213,0.70659,0.01733,0.08665,0.00135,0.01742,0.00041,572,76.58,543,10.31,536,7.99,349,8.08 
NMH-54-60,21.00,11.07,234.27,0.06138,0.00233,0.73430,0.01997,0.08674,0.00139,0.04332,0.00165,653,79.29,559,11.69,536,8.27,857,32.01 
NMH-54-25,31.83,27.06,364.45,0.05814,0.00199,0.69546,0.01493,0.08675,0.00129,0.01882,0.00064,534,73.76,536,8.94,536,7.66,377,12.77 
NMH-54-54,34.49,16.70,417.98,0.05812,0.00192,0.69541,0.01405,0.08676,0.00131,0.02857,0.00104,534,71.39,536,8.41,536,7.77,569,20.51 
NMH-54-22,37.07,413.92,328.77,0.06275,0.00245,0.75087,0.02126,0.08677,0.00137,0.00784,0.00026,700,81.18,569,12.33,536,8.14,158,5.29 
NMH-54-45,75.90,14.87,849.45,0.05924,0.00185,0.70938,0.01200,0.08682,0.00128,0.04947,0.00135,576,66.48,544,7.13,537,7.57,976,26.08 
