no,Pb,Th,U,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ,Pb207/Pb206,1σ,Pb207/U235,1σ,Pb206/U238,1σ,Pb208/Th232,1σ
NMH-54-17,22.69,41.41,133.12,0.07070,0.00284,1.51860,0.04528,0.15578,0.00258,0.04659,0.00127,949,80.09,938,18.25,933,14.42,920,24.44 
NMH-54-14,12.72,32.32,69.94,0.07526,0.00391,1.63027,0.07202,0.15710,0.00315,0.04927,0.00172,1076,100.99,982,27.80,941,17.56,972,33.07 
NMH-54-28,62.66,131.11,338.48,0.07698,0.00281,1.69476,0.04215,0.15965,0.00254,0.05993,0.00124,1121,71.05,1007,15.88,955,14.12,1176,23.65 
NMH-54-16,32.96,40.29,146.76,0.07320,0.00241,1.64705,0.03184,0.16320,0.00241,0.05790,0.00113,1019,65.33,988,12.21,975,13.38,1138,21.66 
NMH-54-42,39.06,68.40,174.76,0.07477,0.00269,1.72929,0.04227,0.16769,0.00268,0.06505,0.00137,1062,70.75,1020,15.73,999,14.78,1274,26.01 
NMH-54-46,72.88,146.72,428.64,0.08116,0.00290,1.89516,0.04590,0.16930,0.00273,0.04221,0.00107,1225,68.64,1079,16.10,1008,15.04,836,20.69 
NMH-54-27,45.77,109.67,230.88,0.07619,0.00250,1.80264,0.03485,0.17157,0.00256,0.04833,0.00082,1100,64.33,1046,12.62,1021,14.10,954,15.72 
NMH-54-30,65.99,106.96,331.61,0.08301,0.00263,1.98801,0.03445,0.17366,0.00255,0.06936,0.00109,1269,60.48,1111,11.71,1032,14.02,1356,20.69 
NMH-54-55,52.90,298.80,199.38,0.07575,0.00250,1.85500,0.03735,0.17754,0.00274,0.05299,0.00078,1089,64.71,1065,13.28,1054,14.99,1044,15.02 
NMH-54-59,146.87,335.64,685.99,0.08257,0.00253,2.02421,0.03264,0.17774,0.00264,0.05593,0.00081,1259,58.61,1124,10.96,1055,14.48,1100,15.53 
NMH-54-53,42.26,100.57,163.50,0.08102,0.00280,2.02341,0.04544,0.18108,0.00287,0.04919,0.00089,1222,66.25,1123,15.26,1073,15.67,971,17.18 
NMH-54-31,18.93,37.39,78.39,0.08226,0.00317,2.12417,0.05916,0.18724,0.00314,0.06382,0.00132,1252,73.50,1157,19.23,1106,17.07,1251,25.14 
NMH-54-38,85.52,128.69,388.37,0.07963,0.00248,2.07714,0.03441,0.18914,0.00277,0.05922,0.00091,1188,60.28,1141,11.35,1117,15.04,1163,17.38 
NMH-54-41,81.14,100.13,357.88,0.08596,0.00278,2.32801,0.04396,0.19637,0.00297,0.06454,0.00119,1337,61.39,1221,13.41,1156,16.02,1264,22.69 
NMH-54-32,60.91,145.65,247.30,0.08603,0.00269,2.34878,0.03909,0.19798,0.00290,0.05927,0.00087,1339,59.23,1227,11.85,1165,15.60,1164,16.58 
NMH-54-24,88.27,232.41,353.92,0.09462,0.00310,2.68074,0.05154,0.20545,0.00311,0.06930,0.00110,1521,60.56,1323,14.22,1205,16.61,1354,20.74 
NMH-54-13,21.82,54.30,80.36,0.09408,0.00337,2.75514,0.06581,0.21241,0.00341,0.08069,0.00147,1510,66.19,1344,17.79,1242,18.12,1569,27.49 
NMH-54-37,38.37,58.80,160.15,0.09105,0.00335,2.67138,0.06848,0.21274,0.00354,0.07062,0.00166,1448,68.64,1321,18.94,1243,18.83,1379,31.43 
NMH-54-26,40.22,91.22,130.57,0.09100,0.00298,2.71463,0.05196,0.21631,0.00327,0.07131,0.00112,1447,61.13,1333,14.20,1262,17.30,1392,21.22 
NMH-54-19,78.52,57.52,294.99,0.09999,0.00329,3.29361,0.06413,0.23889,0.00364,0.07706,0.00173,1624,60.07,1480,15.16,1381,18.92,1500,32.46 
NMH-54-43,37.95,122.47,120.29,0.09816,0.00351,3.41048,0.08323,0.25190,0.00421,0.07736,0.00138,1590,65.43,1507,19.16,1448,21.69,1506,25.89 
NMH-54-11,49.15,210.77,144.48,0.10715,0.00397,4.09041,0.10552,0.27690,0.00474,0.07087,0.00129,1752,66.25,1652,21.05,1576,23.90,1384,24.43 
