!no,U,Th,Th/U,r75,2σ,r68,2σ,r76,2σ,T57,2σ,T86,2σ,Tcorr,2σ
Tf-2-1,96,81,0.85,0.01664,0.00098,0.00267,0.00005,0.04517,0.00250,16.76,0.98,17.20,0.33,17.29,0.34
Tf-2-2,107,97,0.91,0.01689,0.00094,0.00261,0.00005,0.04698,0.00244,17.01,0.93,16.79,0.32,16.88,0.32
Tf-2-3,64,50,0.77,0.01685,0.00126,0.00265,0.00006,0.04604,0.00330,16.97,1.26,17.09,0.36,17.18,0.36
Tf-2-4,80,70,0.87,0.01823,0.00113,0.00265,0.00005,0.04992,0.00292,18.35,1.13,17.06,0.34,17.08,0.34
Tf-2-5,63,48,0.76,0.01636,0.00126,0.00267,0.00006,0.04448,0.00331,16.48,1.26,17.17,0.36,17.26,0.36
Tf-2-6,122,113,0.93,0.01709,0.00087,0.00263,0.00005,0.04711,0.00223,17.21,0.87,16.94,0.32,17.02,0.32
Tf-2-8,97,84,0.87,0.01609,0.00096,0.00265,0.00005,0.04410,0.00249,16.21,0.96,17.04,0.33,17.13,0.33
Tf-2-9,93,77,0.83,0.01829,0.00103,0.00263,0.00005,0.05043,0.00267,18.40,1.03,16.93,0.33,16.94,0.33
Tf-2-10,124,110,0.89,0.01773,0.00088,0.00265,0.00005,0.04844,0.00221,17.84,0.87,17.09,0.32,17.14,0.32
Tf-2-11,102,101,0.99,0.01650,0.00094,0.00259,0.00005,0.04619,0.00248,16.62,0.94,16.68,0.32,16.77,0.32
Tf-2-12,149,96,0.65,0.01689,0.00078,0.00264,0.00005,0.04633,0.00196,17.00,0.78,17.02,0.31,17.10,0.31
Tf-2-14,87,76,0.88,0.01769,0.00106,0.00262,0.00005,0.04901,0.00278,17.80,1.06,16.85,0.33,16.89,0.33
Tf-2-15,86,83,0.96,0.01823,0.00107,0.00268,0.00005,0.04941,0.00272,18.34,1.06,17.22,0.34,17.26,0.34
Tf-2-16,227,242,1.07,0.01762,0.00064,0.00272,0.00004,0.04701,0.00160,17.74,0.64,17.50,0.23,17.59,0.23
Tf-2-17,128,112,0.88,0.01722,0.00086,0.00265,0.00004,0.04711,0.00224,17.34,0.85,17.07,0.25,17.15,0.25
Tf-2-18,78,69,0.89,0.01816,0.00117,0.00267,0.00005,0.04931,0.00307,18.27,1.17,17.20,0.29,17.23,0.29
Tf-2-19,153,140,0.91,0.01855,0.00081,0.00276,0.00004,0.04869,0.00201,18.66,0.81,17.79,0.25,17.84,0.25
Tf-2-21,75,70,0.93,0.01836,0.00120,0.00263,0.00004,0.05061,0.00318,18.47,1.19,16.94,0.29,16.95,0.29
Tf-2-22,134,132,0.99,0.01675,0.00083,0.00266,0.00004,0.04568,0.00216,16.87,0.83,17.12,0.25,17.21,0.25
Tf-2-23,84,78,0.93,0.01778,0.00111,0.00263,0.00004,0.04908,0.00296,17.89,1.11,16.91,0.28,16.95,0.28
Tf-2-24,154,144,0.94,0.01714,0.00078,0.00267,0.00004,0.04662,0.00201,17.26,0.78,17.17,0.24,17.25,0.25
Tf-2-25,92,85,0.92,0.01699,0.00103,0.00267,0.00004,0.04619,0.00269,17.11,1.03,17.18,0.28,17.26,0.28
Tf-2-26,88,77,0.87,0.01734,0.00106,0.00260,0.00004,0.04837,0.00285,17.46,1.06,16.74,0.27,16.80,0.28
Tf-2-27,140,130,0.93,0.01670,0.00081,0.00266,0.00004,0.04561,0.00211,16.82,0.81,17.10,0.25,17.19,0.25
Tf-2-28,78,52,0.67,0.01625,0.00113,0.00263,0.00004,0.04485,0.00302,16.36,1.13,16.91,0.29,17.00,0.29
Tf-2-29,99,89,0.90,0.01750,0.00100,0.00265,0.00004,0.04786,0.00264,17.61,1.00,17.07,0.27,17.14,0.27
Tf-2-30,145,139,0.96,0.01728,0.00080,0.00265,0.00004,0.04736,0.00208,17.39,0.80,17.04,0.25,17.11,0.25
