Spot,,Th/U,207Pb/206Pb,,Error,206Pb/238U,,Error,207Pb/235U,,Error,Disc**,238U-206Pb age,,Error,235U-207Pb age,,Error
no.,,,,,2sigma,,,2sigma,,,2sigma,(%),(Ma),,2sigma,(Ma),,2sigma
1,,0.33,0.0488,+/-,0.0014,0.01664,+/-,0.00067,0.1119,+/-,0.0056,,106.4,+/-,4.3,107.7,+/-,5.4
2,,0.64,0.0495,+/-,0.0014,0.01725,+/-,0.0007,0.1177,+/-,0.0059,,110.3,+/-,4.5,113,+/-,5.6
3,,0.33,0.0491,+/-,0.0012,0.01681,+/-,0.00068,0.1138,+/-,0.0053,,107.5,+/-,4.3,109.5,+/-,5.1
4,,0.34,0.0486,+/-,0.0027,0.01753,+/-,0.00068,0.1174,+/-,0.0079,,112,+/-,4.4,112.7,+/-,7.6
5,*,0.34,0.0702,+/-,0.0017,0.01871,+/-,0.00072,0.1811,+/-,0.0082,-31,119.5,+/-,4.6,169,+/-,7.6
6,,0.39,0.05,+/-,0.0015,0.01765,+/-,0.00068,0.1215,+/-,0.006,,112.8,+/-,4.3,116.5,+/-,5.7
7,*,0.45,0.1131,+/-,0.003,0.01873,+/-,0.00072,0.292,+/-,0.014,-104,119.6,+/-,4.6,260,+/-,12
8,,0.58,0.0491,+/-,0.0017,0.01803,+/-,0.00069,0.1219,+/-,0.0063,,115.2,+/-,4.4,116.8,+/-,6
9,,0.53,0.0489,+/-,0.0013,0.01703,+/-,0.00061,0.1147,+/-,0.0052,,108.9,+/-,3.9,110.3,+/-,5
10,,0.41,0.0496,+/-,0.002,0.01737,+/-,0.00063,0.1189,+/-,0.0064,,111,+/-,4,114.1,+/-,6.1
11,,0.41,0.0476,+/-,0.0012,0.01643,+/-,0.00059,0.1079,+/-,0.0048,,105,+/-,3.7,104,+/-,4.6
12,,0.37,0.0493,+/-,0.0012,0.01701,+/-,0.00061,0.1156,+/-,0.0051,,108.8,+/-,3.9,111.1,+/-,4.9
13,*,0.33,0.0545,+/-,0.0016,0.0165,+/-,0.00059,0.124,+/-,0.0058,-3.7,105.5,+/-,3.8,118.7,+/-,5.5
14,*,0.39,0.0535,+/-,0.0026,0.01739,+/-,0.00063,0.1283,+/-,0.0077,-0.017,111.2,+/-,4,122.6,+/-,7.4
15,,0.58,0.0459,+/-,0.0018,0.01656,+/-,0.0006,0.1048,+/-,0.0055,,105.9,+/-,3.8,101.2,+/-,5.3
16,,0.4,0.0483,+/-,0.0014,0.01664,+/-,0.0006,0.1108,+/-,0.0051,,106.4,+/-,3.8,106.7,+/-,4.9
17,,0.39,0.0497,+/-,0.0016,0.01737,+/-,0.00079,0.119,+/-,0.0067,,111,+/-,5,114.2,+/-,6.4
18,,0.39,0.0505,+/-,0.0018,0.01733,+/-,0.00079,0.1207,+/-,0.0069,,110.7,+/-,5,115.7,+/-,6.6
19,,0.29,0.0513,+/-,0.0017,0.01784,+/-,0.00081,0.1263,+/-,0.0071,,114,+/-,5.2,120.7,+/-,6.8
20,*,0.38,0.0477,+/-,0.0014,0.0222,+/-,0.001,0.1463,+/-,0.0078,,141.8,+/-,6.4,138.6,+/-,7.4
21,*,0.68,0.1155,+/-,0.0029,0.0214,+/-,0.001,0.34,+/-,0.018,-102,136.4,+/-,6.2,297,+/-,15
22,,0.33,0.0492,+/-,0.0016,0.01745,+/-,0.00079,0.1183,+/-,0.0066,,111.5,+/-,5.1,113.5,+/-,6.3
23,*,0.64,0.0665,+/-,0.002,0.01652,+/-,0.00075,0.1514,+/-,0.0082,-24,105.6,+/-,4.8,143.2,+/-,7.7
24,,0.38,0.0488,+/-,0.0016,0.01827,+/-,0.00083,0.123,+/-,0.0069,,116.7,+/-,5.3,117.8,+/-,6.6
