Spot,Grain,Th/U,207Pb/206Pb,,2sError,206Pb/238U,,2sError,207Pb/235U,,2sError
1,1,1.14,0.057,+/-,0.011,0.00509,+/-,0.00024,0.0400,+/-,0.0078
2,3,1.37,0.0461,+/-,0.0085,0.00504,+/-,0.00021,0.0320,+/-,0.0061
3,4,1.16,0.0564,+/-,0.0089,0.00499,+/-,0.00019,0.0388,+/-,0.0063
4,4,1.03,0.0444,+/-,0.0092,0.00518,+/-,0.00023,0.0317,+/-,0.0067
5,5,0.89,0.051,+/-,0.015,0.00542,+/-,0.00036,0.038,+/-,0.011
6,5,0.69,0.051,+/-,0.016,0.00505,+/-,0.00035,0.036,+/-,0.011
7,6,1.00,0.046,+/-,0.010,0.00545,+/-,0.00028,0.0349,+/-,0.0078
8,8,0.89,0.058,+/-,0.012,0.00527,+/-,0.00029,0.0419,+/-,0.0090
9,8,0.95,0.057,+/-,0.016,0.00497,+/-,0.00034,0.039,+/-,0.011
10,9,1.07,0.041,+/-,0.010,0.00518,+/-,0.00028,0.0290,+/-,0.0072
11,10,0.99,0.043,+/-,0.011,0.00529,+/-,0.00030,0.0314,+/-,0.0081
12,10,0.99,0.041,+/-,0.013,0.00483,+/-,0.00033,0.0274,+/-,0.0088
13,11,0.92,0.061,+/-,0.015,0.00488,+/-,0.00030,0.041,+/-,0.011
14,12,1.17,0.0549,+/-,0.0089,0.00511,+/-,0.00021,0.0387,+/-,0.0065
15,12,1.12,0.050,+/-,0.011,0.00469,+/-,0.00023,0.0326,+/-,0.0072
16,13,0.92,0.057,+/-,0.013,0.00495,+/-,0.00027,0.0388,+/-,0.0089
17,14,1.36,0.042,+/-,0.010,0.00497,+/-,0.00025,0.0288,+/-,0.0068
18,14,1.17,0.054,+/-,0.009,0.00554,+/-,0.00022,0.0410,+/-,0.0068
19,15,0.94,0.059,+/-,0.013,0.00500,+/-,0.00028,0.041,+/-,0.010
20,16,1.35,0.0375,+/-,0.0084,0.00512,+/-,0.00023,0.0265,+/-,0.0060
21,16,1.18,0.0444,+/-,0.0094,0.00524,+/-,0.00024,0.0321,+/-,0.0069
