Spot,U(ppm),Th(ppm),Pb(ppm),Th/U,f206(%),207Pb/206Pb,±1σ(%),207Pb/235U,±1σ(%),206Pb/238U,±1σ(%),t207/235(Ma),±1σ,t206/238(Ma),±1σ
Ash-1@0,993,764,66,0.769,0.03,0.05314,1.33,0.37754,2.05,0.0515,1.56,323.9,4.9,316.5,8.8
Ash-1@1,251,120,15,0.475,0.73,0.05079,2.91,0.34638,3.32,0.0495,1.61,311.2,4.9,315.1,12.1
Ash-1@2,412,318,28,0.771,0,0.05379,1.43,0.38316,2.08,0.0517,1.51,324.7,4.8,323.6,8.7
Ash-1@3,606,368,37,0.607,0.02,0.05304,1.13,0.36036,1.88,0.0493,1.5,310.1,4.5,310.8,8.3
Ash-1@4,781,536,50,0.686,0.12,0.05309,1.07,0.36889,1.84,0.0504,1.5,316.9,4.6,308.6,8
Ash-1@5,524,263,33,0.502,0.03,0.05199,1.49,0.36941,2.12,0.0515,1.5,323.9,4.7,322.7,8.8
Ash-1@6,714,405,44,0.568,1.04,0.05063,2.27,0.34942,2.72,0.0501,1.5,314.9,4.6,335.6,10.1
Ash-1@7,1819,868,117,0.477,0.14,0.0529,0.62,0.38887,1.67,0.0533,1.55,334.9,5.1,341.8,10.9
Ash-1@8,391,200,24,0.512,0,0.05218,1.38,0.36381,2.04,0.0506,1.5,318,4.7,320.6,9
Ash-1@10,686,559,47,0.815,0,0.05186,1.07,0.3778,1.84,0.0528,1.5,331.9,4.9,328.7,8.5
Ash-1@12,272,157,17,0.577,0,0.05255,2.09,0.37265,2.57,0.0514,1.5,323.3,4.7,329.1,9.6
Ash-1@13,630,302,38,0.479,0,0.05379,1.08,0.36838,1.85,0.0497,1.5,312.5,4.6,307.8,8.7
Ash-1@14,424,369,28,0.871,0.84,0.05235,2.39,0.36528,2.84,0.0506,1.54,318.3,4.8,321.4,9.2
Ash-1@15,313,257,21,0.821,0,0.05285,1.54,0.36382,2.15,0.0499,1.5,314.1,4.6,323.7,10
