Spot,session,206Pb/238U,+/-2sigma,207Pb/235U,+/-2sigma,207Pb/206Pb,+/-2sigma,206Pb/238U,+/-2sigma,207Pb/235U,+/-2sigma,207Pb/206Pb,+/-2sigma
9435_1A,1,0.00903,0.00021,0.05991,0.00203,0.04811,0.00221,58,1.3,59.1,1.9,104,111
9435_2A,1,0.00901,0.00023,0.06014,0.00215,0.04843,0.00207,57.8,1.5,59.3,2.1,120,102
9435_2B,1,0.00881,0.00017,0.05817,0.00185,0.04789,0.00172,56.5,1.1,57.4,1.8,94,86
9435_2C,1,0.00899,0.0002,0.05577,0.00187,0.04498,0.0023,57.7,1.3,55.1,1.8,0,9
9435_3A,1,0.0088,0.00021,0.0593,0.00204,0.04887,0.00224,56.5,1.3,58.5,2,141,110
9435_3B,1,0.00882,0.00021,0.06095,0.00211,0.0501,0.00248,56.6,1.4,60.1,2,199,117
9435_10B,2,0.00857,0.00024,0.06133,0.00424,0.05194,0.00309,55,1.6,60.4,4.1,283,139
9435_10E,2,0.0086,0.00024,0.0539,0.00315,0.04545,0.00212,55.2,1.6,53.3,3,0,48
9435_10F,2,0.00869,0.00022,0.05427,0.00347,0.0453,0.00248,55.8,1.4,53.7,3.3,0,51
9435_10V,2,0.00858,0.00026,0.05413,0.00392,0.04578,0.00286,55.1,1.6,53.5,3.8,0,119
9435_9A,2,0.00858,0.00022,0.05755,0.00296,0.04867,0.00193,55.1,1.4,56.8,2.8,132,95
9435_9B,2,0.00867,0.00023,0.05721,0.00354,0.04786,0.00248,55.6,1.5,56.5,3.4,93,125
9435_9C,2,0.00869,0.00021,0.05772,0.00308,0.04819,0.00207,55.8,1.3,57,3,108,103
9435_9D,2,0.00875,0.0002,0.06375,0.00318,0.05282,0.00208,56.2,1.3,62.8,3,321,91
9435_9G,2,0.0087,0.00021,0.0568,0.00286,0.04737,0.00185,55.8,1.3,56.1,2.7,68,94
9435_9H,2,0.00884,0.00024,0.05811,0.00355,0.0477,0.00241,56.7,1.5,57.4,3.4,85,122
9435_9I,2,0.00858,0.00022,0.05761,0.0034,0.04871,0.00238,55.1,1.4,56.9,3.3,134,117
9435_9J,2,0.00884,0.00022,0.05901,0.00338,0.04842,0.0023,56.7,1.4,58.2,3.2,120,114
9435_9K,2,0.00858,0.00023,0.06251,0.00364,0.05287,0.00252,55.1,1.4,61.6,3.5,323,110
9435_9O,2,0.00879,0.00018,0.0594,0.00319,0.049,0.00221,56.4,1.2,58.6,3.1,148,107
9435_9Q,2,0.00884,0.00023,0.05982,0.00346,0.0491,0.00231,56.7,1.5,59,3.3,152,112
9435_9R,2,0.0085,0.00023,0.05913,0.00342,0.05048,0.00237,54.5,1.5,58.3,3.3,217,111
9435_9S,2,0.00856,0.00021,0.05737,0.00322,0.04859,0.00222,55,1.4,56.6,3.1,128,109
