Sample,Pb*,Pbc,Pb*_Pbc,Th_U,Th_U_error,206Pb_204Pb,%206Pb,%207Pb,208Pb/206Pb,206Pb_238U,206Pb_238U_2sigma%,207Pb_235U,207Pb_235U_2sigma%,207Pb_206Pb,207Pb_206Pb_2sigma%,corr_coef,206Pb_238U_age,206Pb_238U_age_error,207Pb_235U_age,207Pb_235U_age_error,207Pb_206Pb_age,207Pb_206Pb_age_error
z2,1.7,0.37,4.6,0.52,0.01,291,93.7,49.5,0.197,0.000119,0.36,0.0008138,2.55,0.05609,2.39,0.888,766.8,2.8,826,21.1,456,53
z3,2.29,0.42,5.5,0.58,0.01,337,94.6,53.2,0.215,0.0001189,0.37,0.0008084,1.65,0.05556,1.55,0.795,766.6,2.8,820.5,13.5,435,35
z7,2.13,0.31,6.8,0.57,0.01,414,95.6,58.7,0.213,0.0001186,0.37,0.0008135,1.36,0.0561,1.28,0.687,764.7,2.8,825.7,11.2,456,28
z10,1.98,0.46,4.3,0.6,0.01,266,93.1,46.8,0.225,0.0001187,0.39,0.0008037,2.56,0.05529,2.45,0.707,765.2,3,815.7,20.9,424,55
z11,1.54,0.74,2.1,0.57,0.01,140,86.9,30.3,0.217,0.0001194,0.4,0.0008147,6.91,0.05578,6.84,0.372,769.5,3.1,826.9,57.1,443,152
z12,1.84,0.37,5,0.55,0.02,311,94.1,50.4,0.208,0.0001193,0.4,0.000789,3.88,0.05413,3.69,0.804,768.9,3.1,800.8,31,376,83
z14,1.63,0.33,4.9,0.56,0.01,304,94,50.5,0.211,0.0001186,0.37,0.0008071,2.18,0.05567,2.05,0.859,764.7,2.9,819.2,17.8,439,46
z15,1.77,0.88,2,0.61,0.01,133,86.3,29.4,0.23,0.0001191,0.41,0.0008242,3.48,0.05642,3.34,0.741,767.9,3.2,836.5,29.1,469,74
z16,1.88,0.87,2.2,0.59,0.01,143,87.3,30.8,0.219,0.0001186,0.4,0.000806,3.09,0.05553,2.94,0.795,764.6,3,818.1,25.3,434,65
z18,1.66,0.69,2.4,0.58,0.01,158,88.4,33.4,0.22,0.0001189,0.41,0.0008121,3.6,0.05582,3.44,0.773,766.3,3.1,824.2,29.7,445,77
z19,1.73,0.44,4,0.52,0.01,252,92.8,45.5,0.201,0.0001191,0.36,0.0008058,1.9,0.05549,1.77,0.78,767.5,2.7,817.8,15.6,432,40
z21,2.3,0.37,6.2,0.54,0.01,381,95.2,56.1,0.202,0.0001194,0.36,0.0008003,1.19,0.05488,1.11,0.584,769.7,2.8,812.3,9.7,407,25
z22,1.44,0.94,1.5,0.51,0.02,109,83.2,24.4,0.197,0.0001192,0.43,0.0008061,3.87,0.05546,3.63,0.788,768.5,3.3,818.2,31.7,431,81
z23,1.81,0.36,5.1,0.55,0.01,315,94.2,51.3,0.208,0.000119,0.41,0.0008059,1.45,0.05545,1.35,0.474,766.9,3.1,818,11.9,430,30
z24,0.87,0.41,2.1,0.45,0.02,146,87.5,31.5,0.18,0.0001209,0.45,0.0008269,7.98,0.05619,7.72,0.68,779.4,3.5,839.2,66.9,460,171
z25,0.97,0.64,1.5,0.47,0.02,110,83.4,24.8,0.186,0.0001189,0.4,0.0008146,5.75,0.05633,5.54,0.711,766.7,3.1,826.8,47.5,465,123
z26,1.39,0.51,2.7,0.58,0.01,176,89.6,36.3,0.219,0.0001193,0.41,0.0008198,3.9,0.05616,3.78,0.546,768.9,3.2,832.1,32.5,459,84
z27,1.72,0.66,2.6,0.59,0.01,169,89.2,34.6,0.221,0.0001191,0.41,0.0008008,2.94,0.05493,2.78,0.788,767.5,3.1,812.8,23.9,409,62
z28,1.57,0.43,3.6,0.57,0.01,229,92,42.7,0.213,0.0001199,0.37,0.0008092,2.14,0.05515,2.02,0.835,772.7,2.9,821.3,17.6,418,45
