Spot,U(ppm),Th(ppm),Pb(ppm),Th/U,f206(%),207Pb/206Pb,1s(%),207Pb/235U,1(%),206Pb/238U,1s(%),t207/235(Ma),1s,t206/238(Ma),1s
EK-1@0,63,41,4,0.646,0.00,0.05340,5.23,0.34325,5.44,0.0466,1.51,299.6,14.2,293.7,4.3
EK-1@1,44,42,3,0.946,0.30,0.04904,4.27,0.31868,4.54,0.0471,1.54,280.9,11.2,296.9,4.5
EK-1@2,137,121,8,0.884,0.20,0.05345,2.34,0.32562,3.26,0.0455,1.50,286.2,8.2,286.9,4.2
EK-1@3,91,78,6,0.859,0.21,0.05005,2.85,0.32954,3.22,0.0478,1.50,289.2,8.1,300.7,4.4
EK-1@4,43,38,3,0.879,0.26,0.05142,4.04,0.33918,4.31,0.0478,1.50,296.5,11.1,301.3,4.4
EK-1@5,132,157,9,1.194,0.09,0.05263,2.33,0.33652,2.99,0.0470,1.54,294.5,7.7,296.2,4.5
EK-1@6,118,103,7,0.873,0.00,0.05270,3.13,0.34898,3.48,0.0480,1.52,304.0,9.2,302.4,4.5
EK-1@7,20,18,1,0.907,0.00,0.05039,6.01,0.31847,6.20,0.0458,1.54,280.7,15.3,288.9,4.3
EK-1@8,132,95,8,0.722,0.00,0.05293,2.31,0.35381,2.75,0.0485,1.50,307.6,7.3,305.2,4.5
EK-1@9,38,65,3,1.723,0.00,0.05008,4.64,0.32616,4.88,0.0472,1.52,286.6,12.3,297.5,4.4
EK-1@10,79,74,5,0.926,0.24,0.05099,3.08,0.34267,3.42,0.0487,1.51,299.2,8.9,306.8,4.5
EK-1@13,128,182,9,1.418,0.18,0.05188,2.27,0.34285,2.73,0.0479,1.52,299.3,7.1,301.8,4.5
EK-1@14,157,135,10,0.859,0.16,0.04943,2.47,0.32672,2.91,0.0479,1.54,287.1,7.3,301.9,4.5
EK-1@15,127,101,8,0.790,0.09,0.05085,2.29,0.33987,2.73,0.0485,1.50,297.1,7.1,305.1,4.5
EK-1@16,373,733,28,1.967,4.18,0.08160,2.72,0.31601,8.22,0.0471,1.50,278.8,20.2,296.5,4.4
